,Nom bateau,Numéro de voile,Anciens noms du bateau,Architecte,Chantier,Date de lancement,Longueur,Largeur,Tirant d'eau,Déplacement (poids),Nombre de dérives,Hauteur mât,Voile quille,Surface de voiles au près,Surface de voiles au portant,Skipper,Foils
0,NEWREST - ART & FENÊTRES,FRA 56,"No Way Back, Vento di Sardegna",VPLP/Verdier,Persico Marine,01 Août 2015,18.28,5.85,4.5,7.0,foils,29.0,monotype,320.0,570.0,Fabrice Amedeo,True
1,PURE - Best Western®,FRA 49,"Gitana Eighty, Synerciel, Newrest-Matmut",Bruce Farr Design,Southern Ocean Marine (Nouvelle Zélande),08 Mars 2007,18.28,5.8,4.5,9.0,2,28.0,acier forgé,280.0,560.0,Romain Attanasio,False
2,TSE -  4MYPLANET,FRA72,"Famille Mary-Etamine du Lys, Initiatives Coeur, Le Pingouin",Marc Lombard,MAG France,01 Mars 1998,18.28,5.54,4.5,9.0,2,29.0,acier,260.0,580.0,Alexia Barrier,False
3,Maître CoQ IV,17,Safran 2 - Des Voiles et Vous,Verdier - VPLP,CDK Technologies,12 Mars 2015,18.28,5.8,4.5,8.0,foils,29.0,acier mécano soudé,310.0,550.0,Yannick Bestaven,True
4,CHARAL,08,,VPLP,CDK Technologies,18 Août 2018,18.28,5.85,4.5,8.0,foils,29.0,acier,320.0,600.0,Jérémie Beyou,True
5,LA MIE CÂLINE - ARTISANS ARTIPÔLE,FRA 14,"Ecover3, Président, Gamesa, Kilcullen Voyager-Team Ireland",Owen Clarke Design LLP - Clay Oliver,Hakes Marine - Mer Agitée,03 Août 2007,18.28,5.65,4.5,7.9,foils,29.0,basculante avec vérin,300.0,610.0,Arnaud Boissières,True
6,BUREAU VALLEE 2,18,Banque Populaire VIII,Verdier - VPLP,CDK Technologies,09 Juin 2015,18.28,5.8,4.5,7.6,foils,28.0,acier,300.0,600.0,Louis Burton,True
7,ONE PLANET ONE OCEAN,ESP 33,Kingfisher - Educacion sin Fronteras - Forum Maritim Catala - One Planet One Ocean & Pharmaton,Owen Clarke Design,Martens Yachts,02 Février 2000,18.28,5.3,4.5,8.9,2,26.0,acier,240.0,470.0,Didac Costa,False
8,GROUPE SÉTIN,FRA 71,"Paprec-Virbac2, Estrella Damm, We are Water, La Mie Câline",Bruce Farr Yacht Design,Southern Ocean Marine (Nouvelle-Zélande),02 Février 2007,18.28,5.8,4.5,9.0,2 asymétriques,28.5,basculante sur vérin hydraulique,270.0,560.0,Manuel Cousin,False
9,BANQUE POPULAIRE X,FRA30,Macif - SMA,Verdier - VPLP,CDK - Mer Agitée,01 Mars 2011,18.28,5.7,4.5,7.7,2,29.0,acier forgé,340.0,570.0,Clarisse Cremer,False
10,APIVIA,FRA 79,,Verdier,CDK technologies - MerConcept,05 Août 2019,18.28,5.85,4.5,8.0,foils,29.0,acier,350.0,560.0,Charlie Dalin,True
11,INITIATIVES-COEUR,FRA109,Maître CoQ - Banque Populaire VII- Foncia II,VPLP - Verdier,CDK Technologies,20 Septembre 2010,18.28,5.7,4.5,7.8,foils,27.0,acier forgé,300.0,600.0,Sam Davies,True
